ID,date,received_time,from,text,person,event,event_datetime,location,positive,keywords,processed,summary
1,2026/1/30,18:30,爸爸,弟弟晚上在家過生日,,過生日,晚上,,1,"弟弟晚上,生日",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
2,2026/1/30,09:10,教授,教授提醒期末報告必須在下週三前繳交,,繳交,下週三,,0,"教授,期末報告,下週",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
3,2026/1/30,10:25,系辦,明天下午兩點在圖書館舉辦專題講座,,講座,明天下午兩點,圖書館,1,"明天下午兩點,圖書館,專題講座",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
4,2026/1/30,11:40,銀行,信用卡帳單將於本月底到期請盡快完成繳費,,繳費,本月底,,0,"信用卡帳單,本月底,繳費",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
5,2026/1/30,13:00,主管,下午三點要在會議室討論專案進度,,專案進度,下午三點,會議室,0,"下午三點,會議室,專案進度",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
6,2026/1/30,15:20,同學,明天考試範圍包含第三章到第五章,,考試,明天,,0,"明天考試範圍,第三章,第五章",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
7,2026/1/30,16:05,媽媽,媽媽提醒晚上回家吃飯,,媽媽,晚上,,1,"媽媽,晚上回家",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
8,2026/1/30,17:45,網路商店,您的訂單已經出貨預計明天送達,,出貨,明天,,1,"訂單,明天",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
9,2026/1/30,19:10,活動平台,週末在台北有音樂活動可以參加,,活動,週末,台北,1,"週末在台北,音樂活動",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
10,2026/1/30,20:00,學校,學校通知明天上午全校停水,,停水,明天上午,,0,"學校,明天上午",1.0,今日重點：生日、報告、講座、繳費、專案、考試、家庭聚餐、訂單、週末活動，以及學校停水通知。
11,2026/1/31,08:30,HR,王經理通知明天上午十點進行面試,王,面試,明天上午十點,,1,"王經理,明天上午十點,面試",1.0,明信片裡藏著求職、作業、聚餐、退款及迎新活動的溫馨提醒。
12,2026/1/31,10:00,老師,老師說作業格式不符合規定需要重新繳交,,繳交,,,0,"老師,作業格式,規定",1.0,明信片裡藏著求職、作業、聚餐、退款及迎新活動的溫馨提醒。
13,2026/1/31,12:15,朋友,晚上一起去餐廳吃飯,,,晚上,餐廳,1,"晚上,餐廳",1.0,明信片裡藏著求職、作業、聚餐、退款及迎新活動的溫馨提醒。
14,2026/1/31,14:40,客服,退款申請目前審核失敗需要重新提交資料,,退款,,,0,"目前,審核失敗,資料",1.0,明信片裡藏著求職、作業、聚餐、退款及迎新活動的溫馨提醒。
15,2026/1/31,18:20,系學會,本週五在操場舉辦迎新活動,,活動,本週五,操場,1,"操場,活動",1.0,明信片裡藏著求職、作業、聚餐、退款及迎新活動的溫馨提醒。
